Title                                               ,Year of release ,Running time ,Parental guide ,Rating ,Votes
"The Shawshank Redemption"                          ,           1994 ,2h 22m       ,"R"            ,"9.3"  ,"3M"
"The Godfather"                                     ,           1972 ,2h 55m       ,"R"            ,"9.2"  ,"2.1M"
"The Dark Knight"                                   ,           2008 ,2h 32m       ,"PG-13"        ,"9.0"  ,"2.9M"
"The Godfather Part II"                             ,           1974 ,3h 22m       ,"R"            ,"9.0"  ,"1.4M"
"12 Angry Men"                                      ,           1957 ,1h 36m       ,"Approved"     ,"9.0"  ,"889K"
"The Lord of the Rings: The Return of the King"     ,           2003 ,3h 21m       ,"PG-13"        ,"9.0"  ,"2M"
"Schindler's List"                                  ,           1993 ,3h 15m       ,"R"            ,"9.0"  ,"1.5M"
"Pulp Fiction"                                      ,           1994 ,2h 34m       ,"R"            ,"8.9"  ,"2.3M"
"The Lord of the Rings: The Fellowship of the Ring" ,           2001 ,2h 58m       ,"PG-13"        ,"8.9"  ,"2.1M"
"The Good, the Bad and the Ugly"                    ,           1966 ,2h 58m       ,"R"            ,"8.8"  ,"828K"
"Forrest Gump"                                      ,           1994 ,2h 22m       ,"PG-13"        ,"8.8"  ,"2.3M"
"The Lord of the Rings: The Two Towers"             ,           2002 ,2h 59m       ,"PG-13"        ,"8.8"  ,"1.8M"
"Fight Club"                                        ,           1999 ,2h 19m       ,"R"            ,"8.8"  ,"2.4M"
"Inception"                                         ,           2010 ,2h 28m       ,"PG-13"        ,"8.8"  ,"2.6M"
"Star Wars: Episode V - The Empire Strikes Back"    ,           1980 ,2h 4m        ,"PG"           ,"8.7"  ,"1.4M"
"The Matrix"                                        ,           1999 ,2h 16m       ,"R"            ,"8.7"  ,"2.1M"
"Goodfellas"                                        ,           1990 ,2h 25m       ,"R"            ,"8.7"  ,"1.3M"
"One Flew Over the Cuckoo's Nest"                   ,           1975 ,2h 13m       ,"R"            ,"8.7"  ,"1.1M"
"Interstellar"                                      ,           2014 ,2h 49m       ,"PG-13"        ,"8.7"  ,"2.2M"
"Se7en"                                             ,           1995 ,2h 7m        ,"R"            ,"8.6"  ,"1.8M"
"It's a Wonderful Life"                             ,           1946 ,2h 10m       ,"PG"           ,"8.6"  ,"507K"
"Seven Samurai"                                     ,           1954 ,3h 27m       ,"Not Rated"    ,"8.6"  ,"374K"
"The Silence of the Lambs"                          ,           1991 ,1h 58m       ,"R"            ,"8.6"  ,"1.6M"
"Saving Private Ryan"                               ,           1998 ,2h 49m       ,"R"            ,"8.6"  ,"1.5M"
"City of God"                                       ,           2002 ,2h 10m       ,"R"            ,"8.6"  ,"816K"
